DOI,Title,Authors,Corresponding Authors,Institution,Date,Version,Type,Category,Xml,Published
10.1101/066688,Cross-scale dynamics and the evolutionary emergence of infectious diseases,"Schreiber, S. J.; Ke, R.; Loverdo, C.; Park, M.; Ahsan, P.; Lloyd-Smith, J. O.",Sebastian J. Schreiber,"University of California, Davis",2018-08-21,2,new results,epidemiology,https://www.biorxiv.org/content/early/2018/08/21/066688.source.xml,10.1093/ve/veaa105
10.1101/079954,"iCARE: An R Package to Build, Validate and Apply Absolute Risk Models","Pal Choudhury, P.; Maas, P.; Wilcox, A.; Wheeler, W.; Brook, M.; Check, D.; Garcia-Closas, M.; Chatterjee, N.",Nilanjan  Chatterjee,Johns Hopkins University,2018-08-23,2,new results,bioinformatics,https://www.biorxiv.org/content/early/2018/08/23/079954.source.xml,10.1371/journal.pone.0228198
10.1101/093120,Darwinian selection of host and bacteria supports emergence of Lamarckian-like adaptation of the system as a whole,"Osmanovic, D.; Kessler, D. A.; Rabin, Y.; Soen, Y.",Yoav  Soen,Weizmann Institute of Science,2018-08-21,5,new results,evolutionary biology,https://www.biorxiv.org/content/early/2018/08/21/093120.source.xml,10.1186/s13062-018-0224-7
10.1101/097816,"Voltage-gated Proton Channel Hv1 Supports Insulin Secretion in Pancreatic β Cells through calcium entry, depolarization and intracellular pH regulation","Pang, H.; Wang, X.; Xi, W.; Zhao, Q.; Zhang, S.; Qin, J.; Lv, J.; Che, Y.; Zuo, W.; Li, S. J.",Shu Jie  Li,Nankai University,2018-08-24,3,new results,cell biology,https://www.biorxiv.org/content/early/2018/08/24/097816.source.xml,NA
10.1101/130989,On The Peopling Of The Americas: Molecular Evidence For The Paleoamerican And The Solutrean Models,"Yuan, D.; Huang, S.",Shi  Huang,Central South University,2018-08-23,3,new results,evolutionary biology,https://www.biorxiv.org/content/early/2018/08/23/130989.source.xml,NA
10.1101/152215,Range size dynamics can explain why evolutionarily age and diversification rate correlate with contemporary extinction risk in plants,"Tanentzap, A. J.; Igea, J.; Johnston, M. G.; Larcombe, M. J.",Andrew J. Tanentzap,University of Cambridge,2018-08-27,3,new results,evolutionary biology,https://www.biorxiv.org/content/early/2018/08/27/152215.source.xml,10.1086/707207
10.1101/166819,Competition for synaptic building blocks shapes synaptic plasticity,"Triesch, J.; Vo, A. D.; Hafner, A.-S.",Jochen  Triesch,Frankfurt Institute for Advanced Studies,2018-08-21,2,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/21/166819.source.xml,10.7554/elife.37836
10.1101/172221,Global expansion and redistribution of Aedes-borne virus transmission risk with climate change,"Ryan, S. J.; Carlson, C. J.; Mordecai, E. A.; Johnson, L. R.",Sadie J. Ryan,University of Florida,2018-08-26,4,new results,epidemiology,https://www.biorxiv.org/content/early/2018/08/26/172221.source.xml,10.1371/journal.pntd.0007213
10.1101/173039,Genetic screen suggests an alternative mechanism for azide-mediated inhibition of SecA,"Jamshad, M.; Chandler, R.; Yule, J.; Robinson, A.; Alam, F.; Dunne, K.; Nabi, N.; Henderson, I. R.; Huber, D.",Damon  Huber,University of Birmingham,2018-08-22,2,new results,microbiology,https://www.biorxiv.org/content/early/2018/08/22/173039.source.xml,NA
10.1101/176057,Prestimulus Activity in the Cingulo-Opercular Network Predicts Memory for Naturalistic Episodic Experience,"Cohen, N.; Ben-Yakov, A.; Weber, J.; Edelson, M.; Paz, R.; Dudai, Y.",Noga  Cohen,Columbia University,2018-08-24,2,new results,neuroscience,https://www.biorxiv.org/content/early/2018/08/24/176057.source.xml,10.1093/cercor/bhz212
10.1101/195768,How genetic disease risks can be misestimated across global populations,"Kim, M. S.; Patel, K. P.; Teng, A. K.; Berens, A. J.; Lachance, J.",Joseph  Lachance,Georgia Institute of Technology,2018-08-23,2,new results,genomics,https://www.biorxiv.org/content/early/2018/08/23/195768.source.xml,10.1186/s13059-018-1561-7
10.1101/196972,"90-90-90, epidemic control, and ending AIDS: review of global situation and recommendations","Granich, R.; Williams, B. G.; Gupta, S.; Zuniga, J. M.",Reuben  Granich,Independent Public Health Consultant,2018-08-21,3,new results,epidemiology,https://www.biorxiv.org/content/early/2018/08/21/196972.source.xml,NA
